Nome da tabela	Apelido da tabela	Nome do campo	Apelido do campo	Tipo do campo	Selecionado	Obrigatório
FXIDESCCLAS	FAIXA DOS ITENS DA TABELA DE DESCONTO NA CLASSIFICAÇÃO DE G	CODI_TCL	Código do tipo de classificação	dtInteger	T	F
FXIDESCCLAS	FAIXA DOS ITENS DA TABELA DE DESCONTO NA CLASSIFICAÇÃO DE G	UUMANUT	Usuário da última manutenção	dtString	T	F
FXIDESCCLAS	FAIXA DOS ITENS DA TABELA DE DESCONTO NA CLASSIFICAÇÃO DE G	DUMANUT	Data da última manutenção p/ integração off-line de lojas	dtDateTime	T	F
FXIDESCCLAS	FAIXA DOS ITENS DA TABELA DE DESCONTO NA CLASSIFICAÇÃO DE G	DTRN_TCL	Desconsiderar serviço para transferência entre unidades (S)Sim (N)Não	dtString	T	F
FXIDESCCLAS	FAIXA DOS ITENS DA TABELA DE DESCONTO NA CLASSIFICAÇÃO DE G	GEVD_FDC	% do descontado destinado a estoque.	dtDouble	T	F
FXIDESCCLAS	FAIXA DOS ITENS DA TABELA DE DESCONTO NA CLASSIFICAÇÃO DE G	GBCV_FDC	Base para cálculo do estoque físico.	dtString	T	F
FXIDESCCLAS	FAIXA DOS ITENS DA TABELA DE DESCONTO NA CLASSIFICAÇÃO DE G	DINSERT	Data da inserção	dtDateTime	T	F
FXIDESCCLAS	FAIXA DOS ITENS DA TABELA DE DESCONTO NA CLASSIFICAÇÃO DE G	DTSYNCAPI	Campo Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
FXIDESCCLAS	FAIXA DOS ITENS DA TABELA DE DESCONTO NA CLASSIFICAÇÃO DE G	DATAULTIMASINCRONIZACAOAPI	Data da última Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
FXIDESCCLAS	FAIXA DOS ITENS DA TABELA DE DESCONTO NA CLASSIFICAÇÃO DE G	DUMANUT_SYS	Data da última atualização do registro, pegando dados do servidor de banco.	dtDateTime	T	F
FXIDESCCLAS	FAIXA DOS ITENS DA TABELA DE DESCONTO NA CLASSIFICAÇÃO DE G	CODIPESLANREG	Código da pessoa que lançou o registro	dtInteger	T	F
FXIDESCCLAS	FAIXA DOS ITENS DA TABELA DE DESCONTO NA CLASSIFICAÇÃO DE G	CODIPESMANUTREG	Código da pessoa que realizou manutenção no registro	dtInteger	T	F
DDEPOSITO	CABEÇALHO TABELA DE DESCONTO DE ARMAZENAGEM	CODI_DDE	Código	dtInteger	T	F
DDEPOSITO	CABEÇALHO TABELA DE DESCONTO DE ARMAZENAGEM	DESC_DDE	Descrição	dtString	T	F
DDEPOSITO	CABEÇALHO TABELA DE DESCONTO DE ARMAZENAGEM	SITU_DDE	Situação (A)tivo ou (I)Nativo	dtString	T	F
DDEPOSITO	CABEÇALHO TABELA DE DESCONTO DE ARMAZENAGEM	TIPC_DDE	Tipo calculo S(imples) (C)omposto P(osicao)	dtString	T	F
DDEPOSITO	CABEÇALHO TABELA DE DESCONTO DE ARMAZENAGEM	UUMANUT	Usuário da última manutenção	dtString	T	F
DDEPOSITO	CABEÇALHO TABELA DE DESCONTO DE ARMAZENAGEM	DUMANUT	Data da última manutenção p/ integração off-line de lojas	dtDateTime	T	F
DDEPOSITO	CABEÇALHO TABELA DE DESCONTO DE ARMAZENAGEM	DINSERT	Data da inserção	dtDateTime	T	F
DDEPOSITO	CABEÇALHO TABELA DE DESCONTO DE ARMAZENAGEM	DTSYNCAPI	Campo Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
DDEPOSITO	CABEÇALHO TABELA DE DESCONTO DE ARMAZENAGEM	DATAULTIMASINCRONIZACAOAPI	Data da última Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
DDEPOSITO	CABEÇALHO TABELA DE DESCONTO DE ARMAZENAGEM	DUMANUT_SYS	Data da última atualização do registro, pegando dados do servidor de banco.	dtDateTime	T	F
DDEPOSITO	CABEÇALHO TABELA DE DESCONTO DE ARMAZENAGEM	CODIPESLANREG	Código da pessoa que lançou o registro	dtInteger	T	F
DDEPOSITO	CABEÇALHO TABELA DE DESCONTO DE ARMAZENAGEM	CODIPESMANUTREG	Código da pessoa que realizou manutenção no registro	dtInteger	T	F
IDDEPOSITO	ITENS DA TABELA DE DESCONTO DE ARMAZENAGEM	CODI_DDE	Código	dtInteger	T	F
IDDEPOSITO	ITENS DA TABELA DE DESCONTO DE ARMAZENAGEM	CODI_PSV	Código do Produto	dtString	T	F
IDDEPOSITO	ITENS DA TABELA DE DESCONTO DE ARMAZENAGEM	DTIN_IDD	Data início de cobrança	dtDate	T	F
IDDEPOSITO	ITENS DA TABELA DE DESCONTO DE ARMAZENAGEM	SCRI_IDD	Script na linguagem lua para cálculo de despesas	dtBLOB	T	F
IDDEPOSITO	ITENS DA TABELA DE DESCONTO DE ARMAZENAGEM	ORIG_IDD	Origem do script	dtString	T	F
IDESCCLAS	ITENS DA TABELA DE DESCONTO NA CLASSIFICAÇÃO DE GRÃOS	CODI_TME	Tabela de Melhoria de PH	dtInteger	T	F
IDDEPOSITO	ITENS DA TABELA DE DESCONTO DE ARMAZENAGEM	VOLU_IDD	Volume da embalagem	dtDouble	T	F
IDDEPOSITO	ITENS DA TABELA DE DESCONTO DE ARMAZENAGEM	UUMANUT	Usuário da última manutenção	dtString	T	F
IDDEPOSITO	ITENS DA TABELA DE DESCONTO DE ARMAZENAGEM	DUMANUT	Data da última manutenção p/ integração off-line de lojas	dtDateTime	T	F
IDDEPOSITO	ITENS DA TABELA DE DESCONTO DE ARMAZENAGEM	DINSERT	Data da inserção	dtDateTime	T	F
FIXANOT	FIXAÇÃO DE NOTAS FISCAIS DE COMPRA	CODI_FXC	Código da fixação	dtInteger	T	F
FIXANOT	FIXAÇÃO DE NOTAS FISCAIS DE COMPRA	NPRE_NOT	Número da pre nota	dtInteger	T	F
FIXANOT	FIXAÇÃO DE NOTAS FISCAIS DE COMPRA	QTDE_FNE	Volume fixado	dtDouble	T	F
FIXANOT	FIXAÇÃO DE NOTAS FISCAIS DE COMPRA	TIPO_FNE	Tipo da nota E(Entrada) ou S(Saída)	dtString	T	F
FIXANOT	FIXAÇÃO DE NOTAS FISCAIS DE COMPRA	DUMANUT	Data da última manutenção p/ integração off-line de lojas	dtDateTime	T	F
Nome da tabela	Apelido da tabela	Nome do campo	Apelido do campo	Tipo do campo	Selecionado	Obrigatório
FIXANOT	FIXAÇÃO DE NOTAS FISCAIS DE COMPRA	DINSERT	Data da inserção	dtDateTime	T	F
FIXANOT	FIXAÇÃO DE NOTAS FISCAIS DE COMPRA	DTSYNCAPI	Campo Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
FIXANOT	FIXAÇÃO DE NOTAS FISCAIS DE COMPRA	DATAULTIMASINCRONIZACAOAPI	Data da última Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
FIXANOT	FIXAÇÃO DE NOTAS FISCAIS DE COMPRA	DUMANUT_SYS	Data da última atualização do registro, pegando dados do servidor de banco.	dtDateTime	T	F
FIXANOT	FIXAÇÃO DE NOTAS FISCAIS DE COMPRA	CODIPESLANREG	Código da pessoa que lançou o registro	dtInteger	T	F
FIXANOT	FIXAÇÃO DE NOTAS FISCAIS DE COMPRA	CODIPESMANUTREG	Código da pessoa que realizou manutenção no registro	dtInteger	T	F
FIXAINDVDTR	FIXAÇÃO DE MOEDA EM VOLUMES DA VENDA DE GRÃOS	CODI_VDT	Código do contrato de vendas	dtInteger	T	F
FIXAINDVDTR	FIXAÇÃO DE MOEDA EM VOLUMES DA VENDA DE GRÃOS	CODI_EMP	Código da Empresa	dtInteger	T	F
FIXAINDVDTR	FIXAÇÃO DE MOEDA EM VOLUMES DA VENDA DE GRÃOS	CODI_IND	Código da indexador	dtInteger	T	F
FIXAINDVDTR	FIXAÇÃO DE MOEDA EM VOLUMES DA VENDA DE GRÃOS	DATA_VLR	Data da Cotação do Indexador	dtDate	T	F
FIXAINDVDTR	FIXAÇÃO DE MOEDA EM VOLUMES DA VENDA DE GRÃOS	QTDE_FIV	Volume em unidade básica do contrato Fixadado	dtDouble	T	F
FIXAINDVDTR	FIXAÇÃO DE MOEDA EM VOLUMES DA VENDA DE GRÃOS	DUMANUT	Data da Última Manutenção do registro	dtDateTime	T	F
FIXAINDVDTR	FIXAÇÃO DE MOEDA EM VOLUMES DA VENDA DE GRÃOS	DINSERT	Data da inserção	dtDateTime	T	F
FIXAINDVDTR	FIXAÇÃO DE MOEDA EM VOLUMES DA VENDA DE GRÃOS	DTSYNCAPI	Campo Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
FIXAINDVDTR	FIXAÇÃO DE MOEDA EM VOLUMES DA VENDA DE GRÃOS	DATAULTIMASINCRONIZACAOAPI	Data da última Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
FIXAINDVDTR	FIXAÇÃO DE MOEDA EM VOLUMES DA VENDA DE GRÃOS	DUMANUT_SYS	Data da última atualização do registro, pegando dados do servidor de banco.	dtDateTime	T	F
FIXAINDVDTR	FIXAÇÃO DE MOEDA EM VOLUMES DA VENDA DE GRÃOS	CODIPESLANREG	Código da pessoa que lançou o registro	dtInteger	T	F
FIXAINDVDTR	FIXAÇÃO DE MOEDA EM VOLUMES DA VENDA DE GRÃOS	CODIPESMANUTREG	Código da pessoa que realizou manutenção no registro	dtInteger	T	F
FIXACREC	VÍNCULO DA FIXAÇÃO COM DOCUMENTO A RECEBER	CODI_FXC	Código da fixação	dtInteger	T	F
FIXACREC	VÍNCULO DA FIXAÇÃO COM DOCUMENTO A RECEBER	CTRL_CBR	Código do documento a receber	dtInteger	T	F
FIXACREC	VÍNCULO DA FIXAÇÃO COM DOCUMENTO A RECEBER	VLOR_FCR	Valor recebido nesse documento	dtDouble	T	F
FIXACREC	VÍNCULO DA FIXAÇÃO COM DOCUMENTO A RECEBER	UUMANUT	Usuário da última manutenção	dtString	T	F
FIXACREC	VÍNCULO DA FIXAÇÃO COM DOCUMENTO A RECEBER	DUMANUT	Data da última manutenção p/ integração off-line de lojas	dtDateTime	T	F
FIXACREC	VÍNCULO DA FIXAÇÃO COM DOCUMENTO A RECEBER	DINSERT	Data da inserção	dtDateTime	T	F
FIXACREC	VÍNCULO DA FIXAÇÃO COM DOCUMENTO A RECEBER	DTSYNCAPI	Campo Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
FIXACREC	VÍNCULO DA FIXAÇÃO COM DOCUMENTO A RECEBER	DATAULTIMASINCRONIZACAOAPI	Data da última Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
FIXACREC	VÍNCULO DA FIXAÇÃO COM DOCUMENTO A RECEBER	DUMANUT_SYS	Data da última atualização do registro, pegando dados do servidor de banco.	dtDateTime	T	F
FIXACREC	VÍNCULO DA FIXAÇÃO COM DOCUMENTO A RECEBER	CODIPESLANREG	Código da pessoa que lançou o registro	dtInteger	T	F
FIXACREC	VÍNCULO DA FIXAÇÃO COM DOCUMENTO A RECEBER	CODIPESMANUTREG	Código da pessoa que realizou manutenção no registro	dtInteger	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	CODI_BDA	Código da Baixa	dtInteger	T	F
BAIDESARMAZ	BAIXA DE DESPESAS DE ARMAZENAGEM	TIPO_DAR	Tipo documento: Romaneio ou Ttransferência	dtString	T	F
