Nome da tabela	Apelido da tabela	Nome do campo	Apelido do campo	Tipo do campo	Selecionado	Obrigatório
LOCAL	LOCAL	CODIPESMANUTREG	Código da pessoa que realizou manutenção no registro	dtInteger	T	F
TPVEICULO	TPVEICULO	CODI_TVE	Código do tipo de veículo	dtInteger	T	F
TPVEICULO	TPVEICULO	DESC_TVE	Descrição do tipo de veículo	dtString	T	F
TPVEICULO	TPVEICULO	PBTV_TVE	Peso bruto máximo do veículo	dtInteger	T	F
TPVEICULO	TPVEICULO	SITU_TVE	Situação (A)tivo ou (I)nativo	dtString	T	F
TPVEICULO	TPVEICULO	UUMANUT	Usuário da última manutenção	dtString	T	F
TPVEICULO	TPVEICULO	DUMANUT	Data da última manutenção	dtDateTime	T	F
TPVEICULO	TPVEICULO	DINSERT	Data da inserção	dtDateTime	T	F
TPVEICULO	TPVEICULO	DTSYNCAPI	Campo Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
TPVEICULO	TPVEICULO	DATAULTIMASINCRONIZACAOAPI	Data da última Sincronização da SIAGRI API. (Uso Exclusivo de TRIGGERS)	dtDateTime	T	F
TPVEICULO	TPVEICULO	DUMANUT_SYS	Data da última atualização do registro, pegando dados do servidor de banco.	dtDateTime	T	F
TPVEICULO	TPVEICULO	CODIPESLANREG	Código da pessoa que lançou o registro	dtInteger	T	F
TPVEICULO	TPVEICULO	CODIPESMANUTREG	Código da pessoa que realizou manutenção no registro	dtInteger	T	F
MRVEICULO	MRVEICULO	CODI_MVE	Código	dtInteger	T	F
MRVEICULO	MRVEICULO	DESC_MVE	Descrição	dtString	T	F
MRVEICULO	MRVEICULO	UUMANUT	Usuário da última manutenção	dtString	T	F
MRVEICULO	MRVEICULO	DUMANUT	Data da última manutenção	dtDateTime	T	F
MRVEICULO	MRVEICULO	DINSERT	Data da inserção	dtDateTime	T	F
